site,shore_type,lat,long
Family_Tides,Armored,48.61626,-122.98079
Family_Tides,Restored,48.61088,-122.9809
Family_Tides,Natural,48.60786,-122.97894
Turn_Island,Armored,48.53035,-122.98018
Turn_Island,Restored,48.53119,-122.97409
Turn_Island,Natural,48.53147,-122.97154
Cornet_Bay,Armored,48.41538,-122.62817
Cornet_Bay,Restored,48.40078,-122.62306
Cornet_Bay,Natural,48.40192,-122.6215
Seahurst,Armored,47.48251,-122.36122
Seahurst,Restored,47.48006,-122.36187
Seahurst,Natural,47.48348,-122.36105
Dockton,Armored,47.37055,-122.45391
Dockton,Restored,47.37073,-122.45658
Dockton,Natural,47.37245,-122.45165
Edgewater,Armored,47.15205,-122.93036
Edgewater,Restored,47.15502,-122.92818
Edgewater,Natural,47.15622,-122.92663
Maylor_Point,Armored,48.283771,-122.620394
Maylor_Point,Restored,48.268515,-122.627357
Maylor_Point,Natural,48.269436,-122.624514
Lost_Lake,Armored,47.367151,-122.487433
Lost_Lake,Restored,47.3606,-122.48857
Lost_Lake,Natural,47.365218,-122.487626
Titlow,Armored,47.256088,-122.551026
Titlow,Restored,47.24945,-122.5521
