year,month,yday,site,ipa,species,total,rest_yr,rest_age,veg,X100m,X500m,X1.2km
2018,6,162,SHR,Armored,Chinook,0,2014,0,Present,100,70.26,73.25
2018,6,162,SHR,Natural,Chinook,0,2014,0,Present,100,70.26,73.25
2018,6,162,SHR,Restored,Chinook,4,2014,4,Present,100,70.26,73.25
2018,6,163,FAM,Armored,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,6,163,FAM,Natural,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,6,163,FAM,Restored,Chinook,0,2015,3,Absent,14.98,5.2,10.55
2018,6,163,TUR,Armored,Chinook,0,2015,0,Present,0,17.13,13.79
2018,6,163,TUR,Natural,Chinook,0,2015,0,Present,0,17.13,13.79
2018,6,163,TUR,Restored,Chinook,0,2015,3,Present,0,17.13,13.79
2018,6,164,COR,Armored,Chinook,1,2012,0,Present,0,0,5.8
2018,6,164,COR,Natural,Chinook,1,2012,0,Present,0,0,5.8
2018,6,164,COR,Restored,Chinook,8,2012,6,Present,0,0,5.8
2018,6,165,EDG,Armored,Chinook,1,2016,0,Absent,80.8,60.5,41.99
2018,6,165,EDG,Natural,Chinook,1,2016,0,Absent,80.8,60.5,41.99
2018,6,165,EDG,Restored,Chinook,2,2016,2,Absent,80.8,60.5,41.99
2018,6,170,DOK,Armored,Chinook,0,2013,0,Absent,100,58.12,56.83
2018,6,170,DOK,Natural,Chinook,1,2013,0,Absent,100,58.12,56.83
2018,6,170,DOK,Restored,Chinook,1,2013,5,Absent,100,58.12,56.83
2018,7,192,FAM,Armored,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,7,192,FAM,Natural,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,7,192,FAM,Restored,Chinook,0,2015,3,Absent,14.98,5.2,10.55
2018,7,192,TUR,Armored,Chinook,0,2015,0,Present,0,17.13,13.79
2018,7,192,TUR,Natural,Chinook,0,2015,0,Present,0,17.13,13.79
2018,7,192,TUR,Restored,Chinook,0,2015,3,Present,0,17.13,13.79
2018,7,193,COR,Armored,Chinook,0,2012,0,Present,0,0,5.8
2018,7,193,COR,Natural,Chinook,23,2012,0,Present,0,0,5.8
2018,7,193,COR,Restored,Chinook,15,2012,6,Present,0,0,5.8
2018,7,193,TUR,Armored,Chinook,12,2015,0,Present,0,17.13,13.79
2018,7,193,TUR,Natural,Chinook,0,2015,0,Present,0,17.13,13.79
2018,7,193,TUR,Restored,Chinook,0,2015,3,Present,0,17.13,13.79
2018,7,197,SHR,Armored,Chinook,0,2014,0,Present,100,70.26,73.25
2018,7,197,SHR,Natural,Chinook,0,2014,0,Present,100,70.26,73.25
2018,7,197,SHR,Restored,Chinook,0,2014,4,Present,100,70.26,73.25
2018,7,199,EDG,Armored,Chinook,0,2016,0,Absent,80.8,60.5,41.99
2018,7,199,EDG,Natural,Chinook,2,2016,0,Absent,80.8,60.5,41.99
2018,7,199,EDG,Restored,Chinook,1,2016,2,Absent,80.8,60.5,41.99
2018,7,200,DOK,Armored,Chinook,0,2013,0,Absent,100,58.12,56.83
2018,7,200,DOK,Natural,Chinook,0,2013,0,Absent,100,58.12,56.83
2018,7,200,DOK,Restored,Chinook,0,2013,5,Absent,100,58.12,56.83
2018,8,213,SHR,Armored,Chinook,0,2014,0,Present,100,70.26,73.25
2018,8,213,SHR,Natural,Chinook,0,2014,0,Present,100,70.26,73.25
2018,8,213,SHR,Restored,Chinook,1,2014,4,Present,100,70.26,73.25
2018,8,215,DOK,Armored,Chinook,1,2013,0,Absent,100,58.12,56.83
2018,8,215,DOK,Natural,Chinook,0,2013,0,Absent,100,58.12,56.83
2018,8,215,DOK,Restored,Chinook,0,2013,5,Absent,100,58.12,56.83
2018,8,219,EDG,Armored,Chinook,0,2016,0,Absent,80.8,60.5,41.99
2018,8,219,EDG,Natural,Chinook,0,2016,0,Absent,80.8,60.5,41.99
2018,8,219,EDG,Restored,Chinook,0,2016,2,Absent,80.8,60.5,41.99
2018,8,235,FAM,Armored,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,8,235,FAM,Natural,Chinook,0,2015,0,Absent,14.98,5.2,10.55
2018,8,235,FAM,Restored,Chinook,0,2015,3,Absent,14.98,5.2,10.55
2018,8,235,TUR,Armored,Chinook,0,2015,0,Present,0,17.13,13.79
